Card ID,EN Name,EN Expansion,EN Collection No.,JP Name,JP Expansion,JP Collection No.,Category,HP,Type
330,Sylveon,PRE,40,ニンフィア,SVM,050/175,n/a,120,{P}
331,XerneasEX,PROMO,179,ゼルネアスex,SVM,052/175,n/a,210,{P}
332,Dhelmise,JTG,70,ダダリン,SVM,055/175,n/a,130,{P}
333,Riolu,PRE,50,リオル,SVM,064/175,n/a,70,{F}
334,Sneasel,PRE,61,ニューラ,SVM,075/175,n/a,60,{D}
335,Bronzor,PRE,66,ドーミラー,SVM,081/175,n/a,70,{M}
336,Zacian ex,SVP,198,ザシアンex,SVM,089/175,n/a,220,{M}
337,LugiaEX,PRE,82,ルギアex,SVM,097/175,n/a,220,{C}
338,Ethan's Pinsir,DRI,1,ヒビキのカイロス,M2a,001/193,Trainer's Pokémon(Ethan),120,{G}
339,Yanma,DRI,2,ヤンヤンマ,MC,021/742,n/a,70,{G}
340,Yanmega ex,DRI,3,メガヤンマex,MC,022/742,n/a,280,{G}
341,Cynthia's Roselia,DRI,7,シロナのロゼリア,MC,032/742,Trainer's Pokémon(Cynthia),70,{G}
342,Cynthia's Roserade,DRI,8,シロナのロズレイド,MC,033/742,Trainer's Pokémon(Cynthia),130,{G}
343,Shaymin,DRI,10,シェイミ,MA,001/043,n/a,80,{G}
344,Dwebble,DRI,11,イシズマイ,MC,045/742,n/a,70,{G}
345,Crustle,DRI,12,イワパレス,MC,046/742,n/a,150,{G}
346,Applin,DRI,16,カジッチュ,SV9a,009/063,n/a,40,{G}
347,Dipplin,DRI,17,カミッチュ,SV9a,010/063,n/a,90,{G}
348,Hydrapple,DRI,18,カミツオロチ,SV9a,011/063,n/a,170,{G}
349,Teal Mask Ogerpon,DRI,26,オーガポン みどりのめん,MC,081/742,n/a,110,{G}
350,Ponyta,DRI,29,ポニータ,SV9a,013/063,n/a,70,{R}
351,Rapidash,DRI,30,ギャロップ,MC,090/742,n/a,110,{R}
352,Ethan's Cyndaquil,DRI,32,ヒビキのヒノアラシ,SV9a,015/063,Trainer's Pokémon(Ethan),70,{R}
353,Ethan's Quilava,DRI,33,ヒビキのマグマラシ,SV9a,016/063,Trainer's Pokémon(Ethan),100,{R}
354,Ethan's Typhlosion,DRI,34,ヒビキのバクフーン,SV9a,017/063,Trainer's Pokémon(Ethan),170,{R}
355,Ethan's Slugma,DRI,35,ヒビキのマグマッグ,M2a,018/193,Trainer's Pokémon(Ethan),80,{R}
356,Ethan's Magcargo,DRI,36,ヒビキのマグカルゴ,M2a,019/193,Trainer's Pokémon(Ethan),130,{R}
357,Ethan's Ho-Oh ex,DRI,39,ヒビキのホウオウex,M2a,021/193,Trainer's Pokémon(Ethan),230,{R}
358,Hearthflame Mask Ogerpon,DRI,44,オーガポン かまどのめん,MC,148/742,n/a,110,{R}
359,Misty's Psyduck,DRI,45,カスミのコダック,SV9a,022/063,Trainer's Pokémon(Misty),70,{W}
360,Misty's Staryu,DRI,46,カスミのヒトデマン,MC,155/742,Trainer's Pokémon(Misty),70,{W}
361,Misty's Starmie,DRI,47,カスミのスターミー,MC,156/742,Trainer's Pokémon(Misty),100,{W}
362,Misty's Magikarp,DRI,48,カスミのコイキング,MC,157/742,Trainer's Pokémon(Misty),30,{W}
363,Misty's Gyarados,DRI,49,カスミのギャラドス,MC,158/742,Trainer's Pokémon(Misty),180,{W}
364,Misty's Lapras,DRI,50,カスミのラプラス,MC,160/742,Trainer's Pokémon(Misty),110,{W}
365,Cynthia's Feebas,DRI,52,シロナのヒンバス,SV9a,028/063,Trainer's Pokémon(Cynthia),30,{W}
366,Cynthia's Milotic,DRI,53,シロナのミロカロス,SV9a,029/063,Trainer's Pokémon(Cynthia),130,{W}
367,Buizel,DRI,57,ブイゼル,MC,193/742,n/a,70,{W}
368,Floatzel,DRI,58,フローゼル,MC,194/742,n/a,120,{W}
369,Dondozo ex,DRI,66,ヘイラッシャex,MC,220/742,n/a,260,{W}
370,Wellspring Mask Ogerpon,DRI,67,オーガポン いどのめん,MC,223/742,n/a,110,{W}
371,Electabuzz,DRI,68,エレブー,MC,236/742,n/a,90,{L}
372,Electivire ex,DRI,69,エレキブルex,MC,237/742,n/a,280,{L}
373,Ethan's Pichu,DRI,71,ヒビキのピチュー,MC,241/742,Trainer's Pokémon(Ethan),30,{L}
374,Electrike,DRI,75,ラクライ,MC,242/742,n/a,60,{L}
375,Manectric,DRI,76,ライボルト,MC,243/742,n/a,120,{L}
376,Rotom,DRI,77,ロトム,SV9a,039/063,n/a,60,{L}
377,Zeraora,DRI,78,ゼラオラ,M2a,055/193,n/a,100,{L}
378,Ethan's Sudowoodo,DRI,93,ヒビキのウソッキー,SV9a,041/063,Trainer's Pokémon(Ethan),110,{F}
379,Cynthia's Gible,DRI,102,シロナのフカマル,MC,376/742,Trainer's Pokémon(Cynthia),70,{F}
380,Cynthia's Gabite,DRI,103,シロナのガバイト,MC,377/742,Trainer's Pokémon(Cynthia),100,{F}
381,Cynthia's Garchomp ex,DRI,104,シロナのガブリアスex,MC,378/742,Trainer's Pokémon(Cynthia),330,{F}
382,Mudbray,DRI,107,ドロバンコ,SV9a,045/063,n/a,90,{F}
383,Mudsdale,DRI,108,バンバドロ,MC,406/742,n/a,150,{F}
384,Arven's Toedscool,DRI,109,ペパーのノノクラゲ,MC,419/742,Trainer's Pokémon(Arven),70,{F}
385,Arven's Toedscruel,DRI,110,ペパーのリククラゲ,MC,420/742,Trainer's Pokémon(Arven),140,{F}
386,Cornerstone Mask Ogerpon,DRI,111,オーガポン いしずえのめん,MC,427/742,n/a,110,{F}
387,Cynthia's Spiritomb,DRI,129,シロナのミカルゲ,M2a,108/193,Trainer's Pokémon(Cynthia),70,{D}
388,Arven's Maschiff,DRI,138,ペパーのオラチフ,MC,483/742,Trainer's Pokémon(Arven),70,{D}
389,Arven's Mabosstiff ex,DRI,139,ペパーのマフィティフex,MC,484/742,Trainer's Pokémon(Arven),270,{D}
390,Tauros,DRI,152,ケンタロス,MC,563/742,n/a,130,{C}
391,Arven's Skwovet,DRI,158,ペパーのホシガリス,SV9a,054/063,Trainer's Pokémon(Arven),60,{C}
392,Arven's Greedent,DRI,159,ペパーのヨクバリス,SV9a,055/063,Trainer's Pokémon(Arven),120,{C}
393,Pineco,DRI,4,クヌギダマ,SV10,001/098,n/a,70,{G}
394,Shroomish,DRI,5,キノココ,MC,027/742,n/a,60,{G}
395,Breloom,DRI,6,キノガッサ,MC,029/742,n/a,120,{G}
396,Mow Rotom,DRI,9,カットロトム,SV10,004/098,n/a,70,{G}
397,Fomantis,DRI,13,カリキリ,SV10,005/098,n/a,60,{G}
398,Lurantis,DRI,14,ラランテス,SV10,006/098,n/a,120,{G}
399,Team Rocket's Blipbug,DRI,15,ロケット団のサッチムシ,SV10,007/098,Trainer's Pokémon(Team Rocket),60,{G}
400,Team Rocket's Tarountula,DRI,19,ロケット団のタマンチュラ,M2a,015/193,Trainer's Pokémon(Team Rocket),50,{G}
401,Team Rocket's Spidops,DRI,20,ロケット団のワナイダー,M2a,016/193,Trainer's Pokémon(Team Rocket),130,{G}
402,Smoliv,DRI,21,ミニーブ,MC,069/742,n/a,60,{G}
403,Dolliv,DRI,22,オリーニョ,MC,070/742,n/a,90,{G}
404,Arboliva ex,DRI,23,オリーヴァex,MC,071/742,n/a,310,{G}
405,Growlithe,DRI,27,ガーディ,SV10,013/098,n/a,80,{R}
406,Arcanine,DRI,28,ウインディ,SV10,014/098,n/a,140,{R}
407,Team Rocket's Moltres ex,DRI,31,ロケット団のファイヤーex,SV10,015/098,Trainer's Pokémon(Team Rocket),220,{R}
408,Team Rocket's Houndour,DRI,37,ロケット団のデルビル,MC,099/742,Trainer's Pokémon(Team Rocket),70,{R}
409,Team Rocket's Houndoom,DRI,38,ロケット団のヘルガー,MC,100/742,Trainer's Pokémon(Team Rocket),130,{R}
410,Torchic,DRI,40,アチャモ,SV10,018/098,n/a,70,{R}
411,Combusken,DRI,41,ワカシャモ,SV10,019/098,n/a,100,{R}
412,Blaziken,DRI,42,バシャーモ,SV10,020/098,n/a,170,{R}
413,Heat Rotom,DRI,43,ヒートロトム,SV10,021/098,n/a,80,{R}
414,Team Rocket's Articuno,DRI,51,ロケット団のフリーザー,M2a,034/193,Trainer's Pokémon(Team Rocket),120,{W}
415,Clamperl,DRI,54,パールル,SV10,023/098,n/a,60,{W}
416,Huntail,DRI,55,ハンテール,SV10,024/098,n/a,110,{W}
417,Gorebyss,DRI,56,サクラビス,SV10,025/098,n/a,90,{W}
418,Snover,DRI,59,ユキカブリ,SV10,026/098,n/a,90,{W}
419,Abomasnow,DRI,60,ユキノオー,SV10,027/098,n/a,150,{W}
420,Wash Rotom,DRI,61,ウォッシュロトム,SV10,028/098,n/a,80,{W}
421,Arrokuda,DRI,62,サシカマス,SV10,029/098,n/a,70,{W}
422,Barraskewda,DRI,63,カマスジョー,SV10,030/098,n/a,130,{W}
423,Cetoddle,DRI,64,アルクジラ,SV10,031/098,n/a,100,{W}
424,Cetitan ex,DRI,65,ハルクジラex,SV10,032/098,n/a,300,{W}
425,Team Rocket's Zapdos,DRI,70,ロケット団のサンダー,SV10,033/098,Trainer's Pokémon(Team Rocket),120,{L}
426,Team Rocket's Mareep,DRI,72,ロケット団のメリープ,SV10,034/098,Trainer's Pokémon(Team Rocket),60,{L}
427,Team Rocket's Flaaffy,DRI,73,ロケット団のモココ,SV10,035/098,Trainer's Pokémon(Team Rocket),90,{L}
428,Team Rocket's Ampharos,DRI,74,ロケット団のデンリュウ,SV10,036/098,Trainer's Pokémon(Team Rocket),140,{L}
429,Team Rocket's Drowzee,DRI,79,ロケット団のスリープ,MC,288/742,Trainer's Pokémon(Team Rocket),80,{P}
430,Team Rocket's Hypno,DRI,80,ロケット団のスリーパー,MC,289/742,Trainer's Pokémon(Team Rocket),130,{P}
431,Team Rocket's Mewtwo ex,DRI,81,ロケット団のミュウツーex,MC,290/742,Trainer's Pokémon(Team Rocket),280,{P}
432,Team Rocket's Wobbuffet,DRI,82,ロケット団のソーナンス,SV10,040/098,Trainer's Pokémon(Team Rocket),110,{P}
433,Team Rocket's Chingling,DRI,85,ロケット団のリーシャン,SV10,041/098,Trainer's Pokémon(Team Rocket),30,{P}
434,Team Rocket's Mimikyu,DRI,87,ロケット団のミミッキュ,MC,341/742,Trainer's Pokémon(Team Rocket),60,{P}
435,Team Rocket's Dottler,DRI,88,ロケット団のレドームシ,SV10,043/098,Trainer's Pokémon(Team Rocket),80,{P}
436,Team Rocket's Orbeetle,DRI,89,ロケット団のイオルブ,SV10,044/098,Trainer's Pokémon(Team Rocket),130,{P}
437,Mankey,DRI,90,マンキー,SV10,045/098,n/a,70,{F}
438,Primeape,DRI,91,オコリザル,SV10,046/098,n/a,110,{F}
439,Annihilape,DRI,92,コノヨザル,SV10,047/098,n/a,150,{F}
440,Team Rocket's Larvitar,DRI,94,ロケット団のヨーギラス,SV10,048/098,Trainer's Pokémon(Team Rocket),70,{F}
441,Team Rocket's Pupitar,DRI,95,ロケット団のサナギラス,SV10,049/098,Trainer's Pokémon(Team Rocket),100,{F}
442,Team Rocket's Tyranitar,DRI,96,ロケット団のバンギラス,SV10,050/098,Trainer's Pokémon(Team Rocket),180,{F}
443,Nosepass,DRI,97,ノズパス,SV10,051/098,n/a,80,{F}
444,Probopass,DRI,98,ダイノーズ,SV10,052/098,n/a,140,{F}
445,Meditite,DRI,99,アサナン,SV10,053/098,n/a,70,{F}
446,Medicham,DRI,100,チャーレム,SV10,054/098,n/a,120,{F}
447,Regirock ex,DRI,101,レジロックex,MC,374/742,n/a,230,{F}
448,Team Rocket's Ekans,DRI,112,ロケット団のアーボ,SV10,056/098,Trainer's Pokémon(Team Rocket),70,{D}
449,Team Rocket's Arbok,DRI,113,ロケット団のアーボック,SV10,057/098,Trainer's Pokémon(Team Rocket),130,{D}
450,Team Rocket's Nidoran♀,DRI,114,ロケット団のニドラン♀,MC,432/742,Trainer's Pokémon(Team Rocket),70,{D}
451,Team Rocket's Nidorina,DRI,115,ロケット団のニドリーナ,MC,433/742,Trainer's Pokémon(Team Rocket),90,{D}
452,Team Rocket's Nidoqueen,DRI,116,ロケット団のニドクイン,MC,434/742,Trainer's Pokémon(Team Rocket),170,{D}
453,Team Rocket's Nidoran♂,DRI,117,ロケット団のニドラン♂,MC,435/742,Trainer's Pokémon(Team Rocket),70,{D}
454,Team Rocket's Nidorino,DRI,118,ロケット団のニドリーノ,MC,436/742,Trainer's Pokémon(Team Rocket),100,{D}
455,Team Rocket's Nidoking ex,DRI,119,ロケット団のニドキングex,MC,437/742,Trainer's Pokémon(Team Rocket),330,{D}
456,Team Rocket's Zubat,DRI,120,ロケット団のズバット,MC,438/742,Trainer's Pokémon(Team Rocket),50,{D}
457,Team Rocket's Golbat,DRI,121,ロケット団のゴルバット,MC,439/742,Trainer's Pokémon(Team Rocket),80,{D}
458,Team Rocket's Crobat ex,DRI,122,ロケット団のクロバットex,MC,440/742,Trainer's Pokémon(Team Rocket),310,{D}
459,Team Rocket's Grimer,DRI,123,ロケット団のベトベター,SV10,067/098,Trainer's Pokémon(Team Rocket),80,{D}
460,Team Rocket's Muk,DRI,124,ロケット団のベトベトン,SV10,068/098,Trainer's Pokémon(Team Rocket),150,{D}
461,Team Rocket's Koffing,DRI,125,ロケット団のドガース,SV10,069/098,Trainer's Pokémon(Team Rocket),70,{D}
462,Team Rocket's Weezing,DRI,126,ロケット団のマタドガス,SV10,070/098,Trainer's Pokémon(Team Rocket),130,{D}
463,Team Rocket's Murkrow,DRI,127,ロケット団のヤミカラス,MC,447/742,Trainer's Pokémon(Team Rocket),80,{D}
464,Team Rocket's Sneasel,DRI,128,ロケット団のニューラ,MC,448/742,Trainer's Pokémon(Team Rocket),80,{D}
465,Forretress,DRI,140,フォレトス,SV10,073/098,n/a,130,{M}
466,Skarmory,DRI,141,エアームド,SV10,074/098,n/a,110,{M}
467,Zamazenta,DRI,146,ザマゼンタ,SV10,075/098,n/a,130,{M}
468,Team Rocket's Rattata,DRI,147,ロケット団のコラッタ,MC,555/742,Trainer's Pokémon(Team Rocket),50,{C}
469,Team Rocket's Raticate,DRI,148,ロケット団のラッタ,MC,556/742,Trainer's Pokémon(Team Rocket),90,{C}
470,Team Rocket's Meowth,DRI,149,ロケット団のニャース,MC,559/742,Trainer's Pokémon(Team Rocket),70,{C}
471,Team Rocket's Persian ex,DRI,150,ロケット団のペルシアンex,MC,560/742,Trainer's Pokémon(Team Rocket),260,{C}
472,Kangaskhan,DRI,151,ガルーラ,SV10,080/098,n/a,120,{C}
473,Team Rocket's Porygon,DRI,153,ロケット団のポリゴン,SV10,081/098,Trainer's Pokémon(Team Rocket),60,{C}
474,Team Rocket's Porygon2,DRI,154,ロケット団のポリゴン2,SV10,082/098,Trainer's Pokémon(Team Rocket),90,{C}
475,Team Rocket's Porygon-Z,DRI,155,ロケット団のポリゴンZ,SV10,083/098,Trainer's Pokémon(Team Rocket),140,{C}
476,Taillow,DRI,156,スバメ,MC,579/742,n/a,60,{C}
477,Swellow,DRI,157,オオスバメ,MC,580/742,n/a,100,{C}
478,Squawkabilly,DRI,160,イキリンコ,SV10,086/098,n/a,70,{C}
479,Snivy,BLK,1,ツタージャ,MC,040/742,n/a,70,{G}
480,Servine,BLK,2,ジャノビー,MC,041/742,n/a,100,{G}
481,Serperior ex,BLK,3,ジャローダex,MC,042/742,n/a,320,{G}
482,Pansage,BLK,4,ヤナップ,SV11B,004/086,n/a,70,{G}
483,Simisage,BLK,5,ヤナッキー,SV11B,005/086,n/a,100,{G}
484,Petilil,BLK,6,チュリネ,SV11B,006/086,n/a,60,{G}
485,Lilligant,BLK,7,ドレディア,SV11B,007/086,n/a,100,{G}
486,Maractus,BLK,8,マラカッチ,SV11B,008/086,n/a,100,{G}
487,Karrablast,BLK,9,カブルモ,SV11B,009/086,n/a,60,{G}
488,Foongus,BLK,10,タマゲタケ,MC,048/742,n/a,50,{G}
489,Amoonguss,BLK,11,モロバレル,MC,049/742,n/a,120,{G}
490,Victini,BLK,12,ビクティニ,MC,107/742,n/a,80,{R}
491,Darumaka,BLK,13,ダルマッカ,MC,116/742,n/a,80,{R}
492,Darmanitan,BLK,14,ヒヒダルマ,MC,117/742,n/a,140,{R}
493,Litwick,WHT,16,ヒトモシ,SV11B,015/086,n/a,60,{R}
494,Lampent,WHT,17,ランプラー,SV11B,016/086,n/a,80,{R}
495,Chandelure,WHT,18,シャンデラ,SV11B,017/086,n/a,150,{R}
496,Larvesta,BLK,15,メラルバ,SV11B,018/086,n/a,60,{R}
497,Volcarona,BLK,16,ウルガモス,MC,124/742,n/a,120,{R}
498,Panpour,BLK,17,ヒヤップ,SV11B,020/086,n/a,70,{W}
499,Simipour,BLK,18,ヒヤッキー,SV11B,021/086,n/a,100,{W}
500,Tympole,BLK,19,オタマロ,SV11B,022/086,n/a,60,{W}
501,Palpitoad,BLK,20,ガマガル,SV11B,023/086,n/a,90,{W}
502,Seismitoad,BLK,21,ガマゲロゲ,SV11B,024/086,n/a,170,{W}
503,Tirtouga,BLK,22,プロトーガ,SV11B,025/086,n/a,100,{W}
504,Carracosta,BLK,23,アバゴーラ,SV11B,026/086,n/a,180,{W}
505,Alomomola,BLK,24,ママンボウ,SV11B,027/086,n/a,110,{W}
506,Cubchoo,BLK,25,クマシュン,SV11B,028/086,n/a,70,{W}
507,Beartic,BLK,26,ツンベアー,SV11B,029/086,n/a,150,{W}
508,Cryogonal,BLK,27,フリージオ,SV11B,030/086,n/a,90,{W}
509,Kyurem ex,BLK,28,キュレムex,MC,203/742,n/a,230,{W}
510,Emolga,BLK,29,エモンガ,MC,253/742,n/a,70,{L}
511,Tynamo,BLK,30,シビシラス,MC,256/742,n/a,40,{L}
512,Eelektrik,BLK,31,シビビール,MC,257/742,n/a,90,{L}
513,Eelektross,BLK,32,シビルドン,SV11B,035/086,n/a,160,{L}
514,Thundurus,BLK,33,ボルトロス,MC,258/742,n/a,120,{L}
515,Zekrom ex,BLK,34,ゼクロムex,MC,259/742,n/a,230,{L}
516,Munna,BLK,35,ムンナ,SV11B,038/086,n/a,70,{P}
517,Musharna,BLK,36,ムシャーナ,SV11B,039/086,n/a,120,{P}
518,Solosis,BLK,37,ユニラン,SV11B,040/086,n/a,40,{P}
519,Duosion,BLK,38,ダブラン,SV11B,041/086,n/a,70,{P}
520,Reuniclus,BLK,39,ランクルス,SV11B,042/086,n/a,140,{P}
521,Elgyem,BLK,40,リグレー,SV11B,043/086,n/a,60,{P}
522,Beheeyem,BLK,41,オーベム,SV11B,044/086,n/a,90,{P}
523,Golett,BLK,42,ゴビット,SV11B,045/086,n/a,90,{P}
524,Golurk,BLK,43,ゴルーグ,SV11B,046/086,n/a,160,{P}
525,Meloetta ex,BLK,44,メロエッタex,SV11B,047/086,n/a,200,{P}
526,Drilbur,BLK,45,モグリュー,MC,385/742,n/a,70,{F}
527,Excadrill ex,BLK,46,ドリュウズex,MC,387/742,n/a,270,{F}
528,Timburr,BLK,47,ドッコラー,MC,388/742,n/a,70,{F}
529,Gurdurr,BLK,48,ドテッコツ,MC,389/742,n/a,100,{F}
530,Conkeldurr,BLK,49,ローブシン,MC,390/742,n/a,140,{F}
531,Throh,BLK,50,ナゲキ,SV11B,053/086,n/a,130,{F}
532,Dwebble,BLK,51,イシズマイ,SV11B,054/086,n/a,70,{F}
533,Crustle,BLK,52,イワパレス,SV11B,055/086,n/a,150,{F}
534,Landorus,BLK,53,ランドロス,MC,398/742,n/a,130,{F}
535,Venipede,BLK,54,フシデ,SV11B,057/086,n/a,80,{D}
536,Whirlipede,BLK,55,ホイーガ,SV11B,058/086,n/a,100,{D}
537,Scolipede,BLK,56,ペンドラー,SV11B,059/086,n/a,160,{D}
538,Sandile,BLK,57,メグロコ,SV11B,060/086,n/a,70,{D}
539,Krokorok,BLK,58,ワルビル,SV11B,061/086,n/a,100,{D}
540,Krookodile,BLK,59,ワルビアル,SV11B,062/086,n/a,170,{D}
541,Vullaby,WHT,63,バルチャイ,SV11B,063/086,n/a,70,{D}
542,Mandibuzz,WHT,64,バルジーナ,SV11B,064/086,n/a,110,{D}
543,Escavalier,BLK,60,シュバルゴ,MC,505/742,n/a,130,{M}
544,Pawniard,BLK,64,コマタナ,MC,510/742,n/a,60,{M}
545,Bisharp,BLK,65,キリキザン,MC,511/742,n/a,120,{M}
546,Cobalion,BLK,66,コバルオン,SV11B,068/086,n/a,120,{M}
547,Genesect ex,BLK,67,ゲノセクトex,MC,512/742,n/a,220,{M}
548,Axew,BLK,68,キバゴ,SV11B,070/086,n/a,70,{N}
549,Fraxure,BLK,69,オノンド,SV11B,071/086,n/a,100,{N}
550,Haxorus,BLK,70,オノノクス,SV11B,072/086,n/a,170,{N}
551,Pidove,BLK,71,マメパト,MC,598/742,n/a,60,{C}
552,Tranquill,BLK,72,ハトーボー,MC,599/742,n/a,80,{C}
553,Unfezant,BLK,73,ケンホロウ,MC,600/742,n/a,150,{C}
554,Audino,BLK,74,タブンネ,MC,601/742,n/a,100,{C}
555,Minccino,BLK,75,チラーミィ,MC,603/742,n/a,60,{C}
556,Cinccino,BLK,76,チラチーノ,MC,604/742,n/a,100,{C}
557,Sewaddle,WHT,1,クルミル,SV11W,001/086,n/a,50,{G}
558,Swadloon,WHT,2,クルマユ,SV11W,002/086,n/a,80,{G}
559,Leavanny,WHT,3,ハハコモリ,SV11W,003/086,n/a,130,{G}
560,Cottonee,WHT,4,モンメン,MC,043/742,n/a,60,{G}
561,Whimsicott ex,WHT,5,エルフーンex,MC,044/742,n/a,230,{G}
562,Deerling,WHT,6,シキジカ,SV11W,006/086,n/a,70,{G}
563,Sawsbuck,WHT,7,メブキジカ,SV11W,007/086,n/a,130,{G}
564,Shelmet,WHT,8,チョボマキ,SV11W,008/086,n/a,60,{G}
565,Accelgor,WHT,9,アギルダー,SV11W,009/086,n/a,100,{G}
566,Virizion,WHT,10,ビリジオン,MC,054/742,n/a,120,{G}
567,Tepig,WHT,11,ポカブ,MC,108/742,n/a,70,{R}
568,Pignite,WHT,12,チャオブー,MC,110/742,n/a,110,{R}
569,Emboar,WHT,13,エンブオー,MC,112/742,n/a,180,{R}
570,Pansear,WHT,14,バオップ,SV11W,014/086,n/a,70,{R}
571,Simisear,WHT,15,バオッキー,SV11W,015/086,n/a,100,{R}
572,Heatmor,WHT,19,クイタラン,MC,120/742,n/a,120,{R}
573,Reshiram ex,WHT,20,レシラムex,MC,126/742,n/a,230,{R}
574,Oshawott,WHT,21,ミジュマル,SV11W,018/086,n/a,70,{W}
575,Dewott,WHT,22,フタチマル,SV11W,019/086,n/a,100,{W}
576,Samurott,WHT,23,ダイケンキ,SV11W,020/086,n/a,160,{W}
577,Basculin,WHT,24,バスラオ,SV11W,021/086,n/a,90,{W}
578,Ducklett,WHT,25,コアルヒー,MC,197/742,n/a,70,{W}
579,Swanna,WHT,26,スワンナ,MC,198/742,n/a,120,{W}
580,Vanillite,WHT,27,バニプッチ,MC,199/742,n/a,60,{W}
581,Vanillish,WHT,28,バニリッチ,MC,200/742,n/a,90,{W}
582,Vanilluxe,WHT,29,バイバニラ,MC,201/742,n/a,150,{W}
583,Keldeo ex,WHT,30,ケルディオex,MC,205/742,n/a,210,{W}
584,Blitzle,WHT,31,シママ,MC,250/742,n/a,60,{L}
585,Zebstrika,WHT,32,ゼブライカ,MC,252/742,n/a,120,{L}
586,Joltik,WHT,33,バチュル,SV11W,030/086,n/a,40,{L}
587,Galvantula,WHT,34,デンチュラ,SV11W,031/086,n/a,90,{L}
588,Stunfisk,WHT,35,マッギョ,SV11W,032/086,n/a,110,{L}
589,Woobat,WHT,36,コロモリ,SV11W,033/086,n/a,60,{P}
590,Swoobat,WHT,37,ココロモリ,SV11W,034/086,n/a,90,{P}
591,Sigilyph,WHT,38,シンボラー,SV11W,035/086,n/a,120,{P}
592,Yamask,WHT,39,デスマス,MC,320/742,n/a,70,{P}
593,Cofagrigus,WHT,40,デスカーン,MC,322/742,n/a,120,{P}
594,Gothita,WHT,41,ゴチム,MC,323/742,n/a,70,{P}
595,Gothorita,WHT,42,ゴチミル,MC,324/742,n/a,90,{P}
596,Gothitelle,WHT,43,ゴチルゼル,MC,325/742,n/a,150,{P}
597,Frillish,WHT,44,プルリル,SV11W,041/086,n/a,80,{P}
598,Jellicent ex,WHT,45,ブルンゲルex,SV11W,042/086,n/a,270,{P}
599,Roggenrola,WHT,46,ダンゴロ,SV11W,043/086,n/a,80,{F}
600,Boldore,WHT,47,ガントル,SV11W,044/086,n/a,110,{F}
601,Gigalith,WHT,48,ギガイアス,SV11W,045/086,n/a,170,{F}
602,Sawk,WHT,49,ダゲキ,MC,391/742,n/a,110,{F}
603,Archen,WHT,50,アーケン,MC,392/742,n/a,80,{F}
604,Archeops,WHT,51,アーケオス,MC,393/742,n/a,140,{F}
605,Mienfoo,WHT,52,コジョフー,MC,395/742,n/a,60,{F}
606,Mienshao,WHT,53,コジョンド,MC,396/742,n/a,100,{F}
607,Terrakion,WHT,54,テラキオン,SV11W,051/086,n/a,140,{F}
608,Purrloin,WHT,55,チョロネコ,SV11W,052/086,n/a,60,{D}
609,Liepard,WHT,56,レパルダス,SV11W,053/086,n/a,110,{D}
610,Scraggy,WHT,57,ズルッグ,SV11W,054/086,n/a,70,{D}
611,Scrafty,WHT,58,ズルズキン,SV11W,055/086,n/a,120,{D}
612,Trubbish,WHT,59,ヤブクロン,MC,465/742,n/a,70,{D}
613,Garbodor,WHT,60,ダストダス,MC,466/742,n/a,140,{D}
614,Zorua,WHT,61,ゾロア,MC,467/742,n/a,70,{D}
615,Zoroark,WHT,62,ゾロアーク,MC,468/742,n/a,120,{D}
616,Deino,WHT,65,モノズ,MC,476/742,n/a,80,{D}
617,Zweilous,WHT,66,ジヘッド,MC,477/742,n/a,110,{D}
618,Hydreigon ex,WHT,67,サザンドラex,MC,478/742,n/a,330,{D}
619,Ferroseed,WHT,68,テッシード,SV11W,063/086,n/a,70,{M}
620,Ferrothorn,WHT,69,ナットレイ,SV11W,064/086,n/a,140,{M}
621,Klink,BLK,61,ギアル,MC,506/742,n/a,60,{M}
622,Klang,BLK,62,ギギアル,MC,507/742,n/a,90,{M}
623,Klinklang,BLK,63,ギギギアル,MC,508/742,n/a,150,{M}
624,Durant,WHT,70,アイアント,SV11W,068/086,n/a,110,{M}
625,Druddigon,WHT,71,クリムガン,MC,544/742,n/a,120,{N}
626,Patrat,WHT,72,ミネズミ,SV11W,070/086,n/a,60,{C}
627,Watchog,WHT,73,ミルホッグ,SV11W,071/086,n/a,90,{C}
628,Lillipup,WHT,74,ヨーテリー,SV11W,072/086,n/a,60,{C}
629,Herdier,WHT,75,ハーデリア,SV11W,073/086,n/a,90,{C}
630,Stoutland,WHT,76,ムーランド,SV11W,074/086,n/a,160,{C}
631,Bouffalant ex,WHT,77,バッフロンex,MC,605/742,n/a,220,{C}
632,Rufflet,BLK,77,ワシボン,MC,606/742,n/a,70,{C}
633,Braviary,BLK,78,ウォーグル,MC,607/742,n/a,140,{C}
634,Tornadus,WHT,78,トルネロス,MC,610/742,n/a,120,{C}
635,Steven's Baltoy,DRI,83,ダイゴのヤジロン,SVOD,001/018,Trainer's Pokémon(Steven),60,{P}
636,Steven's Claydol,DRI,84,ダイゴのネンドール,SVOD,002/018,Trainer's Pokémon(Steven),120,{P}
637,Steven's Carbink,DRI,86,ダイゴのメレシー,SVOD,003/018,Trainer's Pokémon(Steven),80,{P}
638,Steven's Skarmory,DRI,142,ダイゴのエアームド,MC,494/742,Trainer's Pokémon(Steven),120,{M}
639,Steven's Beldum,DRI,143,ダイゴのダンバル,SVOD,019/018,Trainer's Pokémon(Steven),70,{M}
