card_id,card_name,ability_name,ability_text
788,Charmander, Agile,"If this Pokémon has no Energy attached, it has no Retreat Cost."
795,Oricorio ex, Excited Turbo,"As often as you like during your turn, if you have any {R} Mega Evolution Pokémon {ex} in play, you may use this Ability. Attach a Basic {R} Energy card from your hand to 1 of your Benched {R} Pokémon."
799,Dewgong, Thick Fat,This Pokémon takes 30 less damage from attacks from your opponent’s {R} or {W} Pokémon (after applying Weakness and Resistance).
806,Rotom ex, Multi Adapter,"Each of your Pokémon that has ""Rotom"" in its name may have up to 2 Pokémon Tool cards attached. If this Ability goes away, discard Pokémon Tools from those Pokémon until only 1 remains on each."
813,Mismagius ex, Swirling Prose,"As long as this Pokémon is in the Active Spot, whenever your opponent’s Active Pokémon moves to the Bench during their turn, their new Active Pokémon is now Confused."
818,Brambleghast, Prison Panic,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Make your opponent’s Active Pokémon Confused."
824,Flygon, Sandy Flapping,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. You may also use this Ability if this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent’s Pokémon. Discard the top 2 cards of your opponent’s deck."
829,Seviper, Excited Power,"If you have any {D} Mega Evolution Pokémon {ex} in play, attacks used by this Pokémon do 120 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
834,Toxtricity, Sinister Surge,"Once during your turn, you may use this Ability. Search your deck for a Basic {D} Energy card and attach it to 1 of your Benched {D} Pokémon. Then, shuffle your deck. If you attached Energy to a Pokémon in this way, place 2 damage counters on that Pokémon."
835,Empoleon ex, Emperor’s Stance,Prevent all effects of attacks used by your opponent’s Pokémon done to this Pokémon. (Damage is not an effect.)
847,Linoone, Excited Dash,"Once during your turn, if this Pokémon is on your Bench, and if you have any Mega Evolution Pokémon {ex} in play, you may use this Ability. Switch this Pokémon with your Active Pokémon."
851,Silcoon, Multiplying Cocoon,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Search your deck for a Silcoon or a Cascoon and put it onto your Bench. Then, shuffle your deck."
854,Dustox, Boisterous Wind,"Once during your turn, you may use this Ability. Flip a coin. If heads, put an Energy attached to your opponent’s Active Pokémon into their hand."
856,Numel, Incandescent Body,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), the Attacking Pokémon is now Burned."
858,Psyduck, Damp,Pokémon in play (both yours and your opponent’s) lose any Ability that requires the Pokémon using it to Knock Out itself.
859,Golduck, Damp,Pokémon in play (both yours and your opponent’s) lose any Ability that requires the Pokémon using it to Knock Out itself.
866,Frosmoth, Alluring Wings,"Once during your turn, if this Pokémon is in the Active Spot, you may use this Ability. Each player draws a card."
871,Heliolisk, Frilled Generator,"Once during your turn, if you played Canari from your hand this turn, you may use this Ability. Search your deck for up to 2 Basic {L} Energy cards and attach them to this Pokémon. Then, shuffle your deck."
882,Team Rocket's Dugtrio, Holes,"Whenever your opponent’s Active Pokémon moves to the Bench during their turn, place 2 damage counters on that Pokémon."
886,Mega Hawlucha ex, Tenacious Body,"If this Pokémon would be Knocked Out by damage from an attack, flip a coin. If heads, this Pokémon is not Knocked Out, and its remaining HP becomes 10."
896,Mega Scrafty ex, Counterattacking Crest,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), place 5 damage counters on the Attacking Pokémon."
898,Pecharunt, Final Chain,"If this Pokémon is Knocked Out by damage from an attack from your opponent’s Pokémon, search your deck for a card and put it into your hand. Then, shuffle your deck.
"
901,Kingambit, Supreme Overlord,Attacks used by this Pokémon do 30 more damage to your opponent’s Active Pokémon for each Prize card your opponent has taken (before applying Weakness and Resistance).
903,Dragonair, Evolutionary Guidance,"Once during your turn, if this Pokémon has any Energy attached, you may use this Ability. Search your deck for an Evolution Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
904,Mega Dragonite ex, Sky Transport,"Once during your turn, you may use this Ability. Switch your Active Pokémon with 1 of your Benched Pokémon."
911,Erika's Vileplume ex, Lovely Fragrance,"Once during your turn, you may use this Ability. Heal 30 damage from each of your Pokémon."
915,Erika's Tangela, Gathering of Blossoms,"Once during your turn, you may use this Ability. Search your deck for an Erika’s Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
924,Meowscarada, Showtime,"Once during your turn, if this Pokémon is on your Bench, you may switch it with your Active Pokémon."
962,Azumarill ex, Bubble Gathering,"As often as you like during your turn, you may use this Ability. Move an Energy from 1 of your other Pokémon to this Pokémon."
968,Dachsbun ex, Time to Chow Down,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Heal all damage from each of your Evolution Pokémon. If you healed any damage in this way, discard all Energy from those Pokémon."
970,Fezandipiti, Adrena-Pheromone,"If this Pokémon has any {D} Energy attached and is damaged by an attack, flip a coin. If heads, prevent that damage."
976,Carbink, Double Type,"As long as this Pokémon is in play, it is {F} and {P} type."
993,Orthworm ex, Pummeling Payback,"If this Pokémon is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), place 2 damage counters on the Attacking Pokémon for each {M} Energy attached to this Pokémon."
994,Fraxure, Unnerve,"Whenever your opponent plays an Item or Supporter card from their hand, prevent all effects of that card done to this Pokémon."
1009,Larry's Komala, Lethargic Charge,"Once during your turn, if this Pokémon is on your Bench, you may use this Ability. Attach an Energy card from your hand to your Active Larry’s Pokémon."
1019,Vivillon, Grand Wing,"Once during your turn, you may use this Ability. Your opponent shuffles their hand and puts it on the bottom of their deck. If they put any cards on the bottom of their deck in this way, they draw 4 cards."
1022,Decidueye ex, Sniper’s Eye,"If your opponent has exactly 4 cards in their hand, ignore all {C} Energy in the costs of attacks used by this Pokémon."
1024,Talonflame, Sky Hunt,"Once during your turn, you may use this Ability. Flip a coin. If heads, discard a random card from your opponent’s hand."
1027,Turtonator, Shell Spikes,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), discard an Energy from the Attacking Pokémon."
1029,Dewgong, Wash Out,"As often as you like during your turn, you may use this Ability. Move a {W} Energy from 1 of your Benched Pokémon to your Active Pokémon."
1033,Aurorus, Tundra Wall,All of your Pokémon that have any {W} Energy attached take 50 less damage from attacks from your opponent’s Pokémon (after applying Weakness and Resistance). The effect of Tundra Wall doesn’t stack.
1036,Luxio, Fighting Roar,"If your opponent’s Active Pokémon is a Pokémon {ex}, this Pokémon can evolve during your first turn or the turn you play it."
1040,Mega Clefable ex, Luminous Wing,Prevent all effects of your opponent’s Pokémon’s Abilities done to this Pokémon.
1045,Aromatisse, Scent Collection,"Once during your turn, you may use this Ability. Search your deck for up to 2 Basic {P} Energy cards, reveal them, and put them into your hand. Then, shuffle your deck."
1052,Barbaracle, Stone Arms,"Once during your turn, you may use this Ability. Attach a Basic {F} Energy card from your hand to 1 of your {F} Pokémon."
1054,Tyrantrum, Tyrannically Gutsy,"If this Pokémon has any Special Energy attached, it gets +150 HP."
1059,Gengar, Infinite Shadow,"If this Pokémon is Knocked Out by damage from an attack from your opponent’s Pokémon, put it into your hand instead of the discard pile. (Discard all attached cards.)"
1071,Meowth ex, Last-Ditch Catch,"Once during your turn, when you play this Pokémon from your hand onto your Bench, you may use this Ability. Search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck. You can’t use more than 1 Ability that has “Last-Ditch” in its name each turn."
1077,Roto-Stick,Roto-Stick,Look at the top 4 cards of your deck. You may reveal any number of Supporter cards you find there and put them into your hand. Shuffle the other cards back into your deck.
1078,Hole-Digging Shovel,Hole-Digging Shovel,Discard the top 2 cards of your deck.
1079,Rare Candy,Rare Candy,"Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it, skipping the Stage 1. You can’t use this card during your first turn or on a Basic Pokémon that was put into play this turn."
1080,Unfair Stamp,Unfair Stamp,"You can use this card only if any of your Pokémon were Knocked Out during your opponent’s last turn.

Each player shuffles their hand into their deck. Then, you draw 5 cards, and your opponent draws 2 cards."
1081,Enhanced Hammer,Enhanced Hammer,Discard a Special Energy from 1 of your opponent’s Pokémon.
1082,Hyper Aroma,Hyper Aroma,"Search your deck for up to 3 Stage 1 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck."
1083,Love Ball,Love Ball,"Search your deck for a Pokémon with the same name as 1 of your opponent’s Pokémon in play, reveal it, and put it into your hand. Then, shuffle your deck."
1084,Boxed Order,Boxed Order,"Search your deck for up to 2 Item cards, reveal them, and put them into your hand. Then, shuffle your deck. Your turn ends."
1085,Awakening Drum,Awakening Drum,Draw a card for each of your Ancient Pokémon in play.
1086,Buddy-Buddy Poffin,Buddy-Buddy Poffin,"Search your deck for up to 2 Basic Pokémon with 70 HP or less and put them onto your Bench. Then, shuffle your deck."
1087,Hand Trimmer,Hand Trimmer,"Each player discards cards from their hand until they have 5 cards in their hand. Your opponent discards first. (If a player has 5 or fewer cards in their hand, they do not discard.)"
1088,Prime Catcher,Prime Catcher,"Switch in 1 of your opponent’s Benched Pokémon to the Active Spot. If you do, switch your Active Pokémon with 1 of your Benched Pokémon."
1089,Reboot Pod,Reboot Pod,Attach a Basic Energy card from your discard pile to each of your Future Pokémon.
1090,Ogre’s Mask,Ogre’s Mask,"Choose a Pokémon {ex} in your discard pile that has “Ogerpon” in its name, and switch it with 1 of your Pokémon {ex} in play that has “Ogerpon” in its name. Any attached cards, damage counters, Special Conditions, turns in play, and any other effects remain on the new Pokémon."
1091,Accompanying Flute,Accompanying Flute,Reveal the top 5 cards of your opponent’s deck. You may choose any number of Basic Pokémon you find there and put those Pokémon onto their Bench. Your opponent shuffles the other cards back into their deck.
1092,Secret Box,Secret Box,"You can use this card only if you discard 3 other cards from your hand.

Search your deck for an Item card, a Pokémon Tool card, a Supporter card, and a Stadium card, reveal them, and put them into your hand. Then, shuffle your deck."
1093,Scoop Up Cyclone,Scoop Up Cyclone,Put 1 of your Pokémon and all attached cards into your hand.
1094,Bug Catching Set,Bug Catching Set,Look at the top 7 cards of your deck. You may reveal up to 2 in any combination of {G} Pokémon and Basic {G} Energy cards you find there and put them into your hand. Shuffle the other cards back into your deck.
1095,Dangerous Laser,Dangerous Laser,Your opponent’s Active Pokémon is now Burned and Confused.
1096,Poké Vital A,Poké Vital A,"Heal 150 damage from 1 of your Pokémon.

This card can’t be put into your hand or deck from the discard pile."
1097,Night Stretcher,Night Stretcher,Put a Pokémon or a Basic Energy card from your discard pile into your hand.
1098,Glass Trumpet,Glass Trumpet,"You can use this card only if you have any Tera Pokémon in play.

Choose up to 2 of your Benched {C} Pokémon and attach a Basic Energy card from your discard pile to each of them."
1099,Antique Root Fossil,Primal Root,"As long as this Pokémon is in the Active Spot, attacks used by your opponent’s Basic Pokémon cost {C} more."
1099,Antique Root Fossil,Antique Root Fossil,"Play this card as if it were a 60-HP Basic {C} Pokémon. This card can’t be affected by any Special Conditions and can’t retreat.

At any time during your turn, you may discard this card from play."
1100,Energy Search Pro,Energy Search Pro,"Search your deck for any number of Basic Energy cards of different types, reveal them, and put them into your hand. Then, shuffle your deck."
1101,Call Bell,Call Bell,"You can use this card only if you go second, and only during your first turn.

Search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck."
1102,Dusk Ball,Dusk Ball,Look at the bottom 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.
1103,Meddling Memo,Meddling Memo,"Your opponent counts the cards in their hand, shuffles those cards, and puts them on the bottom of their deck. If they do, they draw that many cards."
1104,Megaton Blower,Megaton Blower,"Discard all Pokémon Tools and Special Energy from all of your opponent’s Pokémon, and discard a Stadium in play."
1105,Dragon Elixir,Dragon Elixir,Heal 60 damage from your Active {N} Pokémon.
1106,Deduction Kit,Deduction Kit,"Look at the top 3 cards of your deck and put them back in any order, or shuffle them and put them on the bottom of your deck."
1107,Scramble Switch,Scramble Switch,"Switch your Active Pokémon with 1 of your Benched Pokémon. If you do, you may move any amount of Energy from the Pokémon you moved to your Bench to the new Active Pokémon."
1108,Chill Teaser Toy,Chill Teaser Toy,"You can use this card only if you go second, and only during your first turn.
Put an Energy attached to 1 of your opponent’s Pokémon into their hand."
1109,Miracle Headset,Miracle Headset,Put up to 2 Supporter cards from your discard pile into your hand.
1110,Max Rod,Max Rod,Put up to 5 in any combination of Pokémon and Basic Energy cards from your discard pile into your hand.
1111,Treasure Tracker,Treasure Tracker,"Search your deck for up to 5 Pokémon Tool cards, reveal them, and put them into your hand. Then, shuffle your deck."
1112,Super Potion,Super Potion,"Heal 60 damage from 1 of your Pokémon. If you healed any damage in this way, discard an Energy from that Pokémon."
1113,N’s PP Up,N’s PP Up,Attach a Basic Energy card from your discard pile to 1 of your Benched N’s Pokémon.
1114,Redeemable Ticket,Redeemable Ticket,"Count your Prize cards, shuffle them, and put them on the bottom of your deck. Then, take that many cards from the top of your deck and put them face down as your Prize cards."
1115,Hop’s Bag,Hop’s Bag,"Search your deck for up to 2 Basic Hop’s Pokémon and put them onto your Bench. Then, shuffle your deck."
1116,Energy Switch,Energy Switch,Move a Basic Energy from 1 of your Pokémon to another of your Pokémon.
1117,Potion,Potion,Heal 30 damage from 1 of your Pokémon.
1118,Energy Retrieval,Energy Retrieval,Put up to 2 Basic Energy cards from your discard pile into your hand.
1119,Energy Search,Energy Search,"Search your deck for a Basic Energy card, reveal it, and put it into your hand. Then, shuffle your deck."
1120,Crushing Hammer,Crushing Hammer,"Flip a coin. If heads, discard an Energy from 1 of your opponent’s Pokémon."
1121,Ultra Ball,Ultra Ball,"You can use this card only if you discard 2 other cards from your hand.

Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
1122,Pokégear 3.0,Pokégear 3.0,Look at the top 7 cards of your deck. You may reveal a Supporter card you find there and put it into your hand. Shuffle the other cards back into your deck.
1123,Switch,Switch,Switch your Active Pokémon with 1 of your Benched Pokémon.
1124,Pokémon Catcher,Pokémon Catcher,"Flip a coin. If heads, switch in 1 of your opponent’s Benched Pokémon to the Active Spot."
1125,Master Ball,Master Ball,"Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
1126,Precious Trolley,Precious Trolley,"Search your deck for any number of Basic Pokémon and put them onto your Bench. Then, shuffle your deck."
1127,Tera Orb,Tera Orb,"Search your deck for a Tera Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
1128,Brilliant Blender,Brilliant Blender,"Search your deck for up to 5 cards and discard them. Then, shuffle your deck."
1129,Sacred Ash,Sacred Ash,Shuffle up to 5 Pokémon from your discard pile into your deck.
1130,Arven's Sandwich,Arven's Sandwich,"Heal 30 damage from your Active Pokémon. If that Pokémon is an Arven’s Pokémon, heal 100 damage from it instead."
1131,Team Rocket's Bother-Bot,Team Rocket's Bother-Bot,Turn 1 of your opponent’s face-down Prize cards face up and choose a random card from your opponent’s hand. Your opponent reveals that card. You may have your opponent switch those cards. (That Prize card remains face up for the rest of the game.)
1132,Team Rocket's Great Ball,Team Rocket's Great Ball,"Search your deck for a Trainer card, reveal it, and put it into your hand. Then, shuffle your deck."
1133,Team Rocket's Venture Bomb,Team Rocket's Venture Bomb,"Flip a coin. If heads, put 2 damage counters on 1 of your opponent’s Pokémon. If tails, put 2 damage counters on your Active Pokémon."
1134,Team Rocket's Transceiver,Team Rocket's Transceiver,"Search your deck for a Supporter card that has “Team Rocket” in its name, reveal it, and put it into your hand. Then, shuffle your deck."
1135,Energy Coin,Energy Coin,"Flip 2 coins. If both of them are heads, search your deck for a Basic Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck."
1136,Antique Cover Fossil, Protective Cover,Prevent all effects of attacks used by your opponent’s Pokémon done to this Pokémon. (Damage is not an effect.)
1136,Antique Cover Fossil,Antique Cover Fossil,"Play this card as if it were a 60-HP Basic {C} Pokémon. This card can’t be affected by any Special Conditions and can’t retreat.

At any time during your turn, you may discard this card from play."
1137,Tool Scrapper,Tool Scrapper,Choose up to 2 Pokémon Tools attached to Pokémon (yours or your opponent’s) and discard them.
1138,Antique Plume Fossil, Plume Protection,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks from your opponent’s Pokémon."
1138,Antique Plume Fossil,Antique Plume Fossil,"Play this card as if it were a 60-HP Basic {C} Pokémon. This card can’t be affected by any Special Conditions and can’t retreat.

At any time during your turn, you may discard this card from play."
1139,Energy Recycler,Energy Recycler,Shuffle up to 5 Basic Energy cards from your discard pile into your deck.
1140,Iron Defender,Iron Defender,"During your opponent’s next turn, all of your {M} Pokémon take 30 less damage from attacks from your opponent’s Pokémon (after applying Weakness and Resistance). (This includes new Pokémon that come into play.)"
1141,Premium Power Pro,Premium Power Pro,"During this turn, attacks used by your {F} Pokémon do 30 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
1142,Fighting Gong,Fighting Gong,"Search your deck for a Basic {F} Energy card or a Basic {F} Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
1143,Repel,Repel,Switch out your opponent’s Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
1144,Strange Timepiece,Strange Timepiece,Devolve 1 of your evolved {P} Pokémon by putting any number of Evolution cards on it into your hand. (That Pokémon can’t evolve this turn.)
1145,Mega Signal,Mega Signal,"Search your deck for a Mega Evolution Pokémon {ex}, reveal it, and put it into your hand. Then, shuffle your deck."
1146,Wondrous Patch,Wondrous Patch,Attach a Basic {P} Energy card from your discard pile to 1 of your Benched {P} Pokémon.
1147,Jumbo Ice Cream,Jumbo Ice Cream,Heal 80 damage from your Active Pokémon that has 3 or more Energy attached.
1148,Blowtorch,Blowtorch,"You can use this card only if you discard a Basic {R} Energy card from your hand.

Discard a Pokémon Tool or Special Energy card from 1 of your opponent’s Pokémon, or discard a Stadium in play."
1149,Energy Swatter,Energy Swatter,"Your opponent reveals their hand, and you choose an Energy card you find there and put it on the bottom of their deck."
1150,Antique Jaw Fossil, Intimidating Jaw,"As long as this Pokémon is in the Active Spot, attacks used by your opponent’s Active Pokémon do 30 less damage (before applying Weakness and Resistance)."
1150,Antique Jaw Fossil,Antique Jaw Fossil,"Play this card as if it were a 60-HP Basic {C} Pokémon. This card can’t be affected by any Special Conditions and can’t retreat.

At any time during your turn, you may discard this card from play."
1151,Antique Sail Fossil, Protective Sail,"Whenever your opponent plays a Supporter card from their hand, prevent all effects of that card done to this Pokémon."
1151,Antique Sail Fossil,Antique Sail Fossil,"Play this card as if it were a 60-HP Basic {C} Pokémon. This card can’t be affected by any Special Conditions and can’t retreat.

At any time during your turn, you may discard this card from play."
1152,Poké Pad,Poké Pad,"Search your deck for a Pokémon that doesn’t have a Rule Box, reveal it, and put it into your hand. Then, shuffle your deck. (Pokémon {ex}, Pokémon {V}, etc. have Rule Boxes.)"
1153,Lumiose Galette,Lumiose Galette,Heal 20 damage and remove a Special Condition from your Active Pokémon.
1154,Team Rocket’s Hypnotizer,Team Rocket’s Hypnotizer,"If the Team Rocket’s Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Team Rocket’s Pokémon is Knocked Out), the Attacking Pokémon is now Asleep."
1155,Survival Brace,Survival Brace,"If the Pokémon this card is attached to has full HP and would be Knocked Out by damage from an attack from your opponent’s Pokémon, it is not Knocked Out, and its remaining HP becomes 10. Then, discard this card."
1156,Lucky Helmet,Lucky Helmet,"If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), draw 2 cards."
1157,Rescue Board,Rescue Board,"The Retreat Cost of the Pokémon this card is attached to is {C} less. If that Pokémon’s remaining HP is 30 or less, it has no Retreat Cost."
1158,Maximum Belt,Maximum Belt,Attacks used by the Pokémon this card is attached to do 50 more damage to your opponent’s Active Pokémon {ex} (before applying Weakness and Resistance).
1159,Hero’s Cape,Hero’s Cape,The Pokémon this card is attached to gets +100 HP.
1160,Heavy Baton,Heavy Baton,"If the Pokémon this card is attached to has a Retreat Cost of exactly 4, is in the Active Spot, and is Knocked Out by damage from an attack from your opponent’s Pokémon, move up to 3 Basic Energy cards from that Pokémon to your Benched Pokémon in any way you like."
1161,Handheld Fan,Handheld Fan,"If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), move an Energy from the Attacking Pokémon to 1 of your opponent’s Benched Pokémon."
1162,Binding Mochi,Binding Mochi,Attacks used by the Poisoned Pokémon this card is attached to do 40 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance).
1163,Powerglass,Powerglass,"At the end of your turn (after your attack), if the Pokémon this card is attached to is in the Active Spot, you may attach a Basic Energy card from your discard pile to it."
1164,Payapa Berry,Payapa Berry,"If the Pokémon this card is attached to is damaged by an attack from your opponent’s {P} Pokémon, it takes 60 less damage (after applying Weakness and Resistance), and discard this card."
1165,Sparkling Crystal,Sparkling Crystal,"When the Tera Pokémon this card is attached to uses an attack, that attack costs 1 Energy less. (The Energy can be of any type.)"
1166,Gravity Gemstone,Gravity Gemstone,"As long as the Pokémon this card is attached to is in the Active Spot, the Retreat Cost of both Active Pokémon is {C} more."
1167,Deluxe Bomb,Deluxe Bomb,"If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), put 12 damage counters on the Attacking Pokémon. If you placed any damage counters in this way, discard this card."
1168,Counter Gain,Counter Gain,"If you have more Prize cards remaining than your opponent, attacks used by the Pokémon this card is attached to cost {C} less."
1169,Amulet of Hope,Amulet of Hope,"If the Pokémon this card is attached to is Knocked Out by damage from an attack from your opponent’s Pokémon, search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck."
1170,Haban Berry,Haban Berry,"If the Pokémon this card is attached to is damaged by an attack from your opponent’s {N} Pokémon, it takes 60 less damage (after applying Weakness and Resistance), and discard this card."
1171,Hop’s Choice Band,Hop’s Choice Band,Attacks used by the Hop’s Pokémon this card is attached to cost {C} less and do 30 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance).
1172,Lillie’s Pearl,Lillie’s Pearl,"If the Lillie’s Pokémon this card is attached to is Knocked Out by damage from an attack from your opponent’s Pokémon, that player takes 1 fewer Prize card."
1173,Cynthia's Power Weight,Cynthia's Power Weight,The Cynthia’s Pokémon this card is attached to gets +70 HP.
1174,Air Balloon,Air Balloon,The Retreat Cost of the Pokémon this card is attached to is {C}{C} less.
1175,Brave Bangle,Brave Bangle,"If the Pokémon this card is attached to doesn’t have a Rule Box, the attacks it uses do 30 more damage to your opponent’s Active Pokémon {ex} (before applying Weakness and Resistance). (Pokémon {ex}, Pokémon {V}, etc. have Rule Boxes.)"
1176,Punk Helmet,Punk Helmet,"If the {D} Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), place 4 damage counters on the Attacking Pokémon."
1177,Sacred Charm,Sacred Charm,The Pokémon this card is attached to takes 30 less damage from attacks from your opponent’s Pokémon that have an Ability (after applying Weakness and Resistance).
1178,Light Ball,Light Ball,Attacks used by the Pikachu {ex} this card is attached to do 50 more damage to your opponent’s Active Pokémon {ex} (before applying Weakness and Resistance).
1179,Thick Scale,Thick Scale,"The {N} Pokémon this card is attached to takes 50 less damage from attacks from your opponent’s {G}, {R}, {W}, or {L} Pokémon (after applying Weakness and Resistance)."
1180,Core Memory,Core Memory,The Mega Zygarde {ex} this card is attached to can use the attack on this card. (You still need the necessary Energy to use this attack.)
1181,Billy & O'Nare,Billy & O'Nare,"Draw 2 cards. Then, if you have 10 or more cards in your hand, draw 2 more cards."
1182,Boss’s Orders,Boss’s Orders,Switch in 1 of your opponent’s Benched Pokémon to the Active Spot.
1183,Perrin,Perrin,"Reveal up to 2 Pokémon in your hand and put them into your deck. If you do, search your deck for up to that many Pokémon, reveal them, and put them into your hand. Then, shuffle your deck."
1184,Lana’s Aid,Lana’s Aid,"Put up to 3 in any combination of Pokémon that don’t have a Rule Box and Basic Energy cards from your discard pile into your hand. (Pokémon {ex}, Pokémon {V}, etc. have Rule Boxes.)"
1185,Explorer’s Guidance,Explorer’s Guidance,Look at the top 6 cards of your deck and put 2 of them into your hand. Discard the other cards.
1186,Eri,Eri,"Your opponent reveals their hand, and you discard up to 2 Item cards you find there."
1187,Morty’s Conviction,Morty’s Conviction,"You can use this card only if you discard another card from your hand.

Draw a card for each of your opponent’s Benched Pokémon."
1188,Ciphermaniac’s Codebreaking,Ciphermaniac’s Codebreaking,"Search your deck for 2 cards, shuffle your deck, then put those cards on top of it in any order."
1189,Salvatore,Salvatore,"Search your deck for a card that has no Abilities and evolves from 1 of your Pokémon, and put it onto that Pokémon to evolve it. Then, shuffle your deck. You can use this card on a Pokémon you put down when you were setting up to play or on a Pokémon that was put into play this turn."
1190,Bianca’s Devotion,Bianca’s Devotion,Heal all damage from 1 of your Pokémon that has 30 HP or less remaining.
1191,Kieran,Kieran,"Choose 1:

• Switch your Active Pokémon with 1 of your Benched Pokémon.
• During this turn, attacks used by your Pokémon do 30 more damage to your opponent’s Active Pokémon {ex} and Active Pokémon {V} (before applying Weakness and Resistance)."
1192,Carmine,Carmine,"If you go first, you may use this card during your first turn.

Discard your hand and draw 5 cards."
1193,Hassel,Hassel,"You can use this card only if any of your Pokémon were Knocked Out during your opponent’s last turn.

Look at the top 8 cards of your deck and put up to 3 of them into your hand. Shuffle the other cards back into your deck."
1194,Colress’s Tenacity,Colress’s Tenacity,"Search your deck for a Stadium card and an Energy card, reveal them, and put them into your hand. Then, shuffle your deck."
1195,Janine’s Secret Art,Janine’s Secret Art,"Choose up to 2 of your {D} Pokémon. For each of those Pokémon, search your deck for a Basic {D} Energy card and attach it to that Pokémon. Then, shuffle your deck. If you attached Energy to your Active Pokémon in this way, it is now Poisoned."
1196,Cassiopeia,Cassiopeia,"You can use this card only when it is the last card in your hand.

Search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck."
1197,Xerosic’s Machinations,Xerosic’s Machinations,Your opponent discards cards from their hand until they have 3 cards in their hand.
1198,Crispin,Crispin,"Search your deck for up to 2 Basic Energy cards of different types, reveal them, and put 1 of them into your hand. Attach the other to 1 of your Pokémon. Then, shuffle your deck."
1199,Lacey,Lacey,"Shuffle your hand into your deck. Then, draw 4 cards. If your opponent has 3 or fewer Prize cards remaining, draw 8 cards instead."
1200,Kofu,Kofu,"Put 2 cards from your hand on the bottom of your deck in any order. If you put 2 cards on the bottom of your deck in this way, draw 4 cards. (If you can’t put 2 cards from your hand on the bottom of your deck, you can’t use this card.)"
1201,Briar,Briar,"You can use this card only if your opponent has exactly 2 Prize cards remaining.

During this turn, if your opponent’s Active Pokémon is Knocked Out by damage from an attack used by your Tera Pokémon, take 1 more Prize card."
1202,Drayton,Drayton,Look at the top 7 cards of your deck. You may reveal a Pokémon and a Trainer card you find there and put them into your hand. Shuffle the other cards back into your deck.
1203,Surfer,Surfer,"Switch your Active Pokémon with 1 of your Benched Pokémon. If you do, draw cards until you have 5 cards in your hand."
1204,Lisia’s Appeal,Lisia’s Appeal,"Switch in 1 of your opponent’s Benched Basic Pokémon to the Active Spot. If you do, the new Active Pokémon is now Confused."
1205,Cyrano,Cyrano,"Search your deck for up to 3 Pokémon {ex}, reveal them, and put them into your hand. Then, shuffle your deck."
1206,Larry’s Skill,Larry’s Skill,"Discard your hand and search your deck for a Pokémon, a Supporter card, and a Basic Energy card, reveal them, and put them into your hand. Then, shuffle your deck."
1207,Amarys,Amarys,"Draw 4 cards. At the end of this turn, if you have 5 or more cards in your hand, discard your hand."
1208,Iris’s Fighting Spirit,Iris’s Fighting Spirit,"You can use this card only if you discard another card from your hand.

Draw cards until you have 6 cards in your hand."
